locationame,lat,lon,stationid,time,elev,hour_12,hour_24,hour_3,hour_6,min_10,now,rain,latest_2days,latest_3days,attribute,city,city_sn,town,town_sn
七堵,25.0966,121.7089,C0B010,2023-05-01T04:50:00+08:00,38.00,0.00,2.00,-998.00,-998.00,-998.00,0.00,-998.00,5.50,6.50,局屬無人測站,基隆市,03,七堵區,012
七塊厝,22.9563,121.2218,C0S950,2023-05-01T04:50:00+08:00,415.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺東縣,22,東河鄉,264
七股,23.1490,120.0782,C0X310,2023-05-01T04:50:00+08:00,9.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,七股區,253
七股研究中心,23.0835,120.0548,72N240,2023-05-01T04:50:00+08:00,2.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,七股區,253
三和,22.6748,121.0161,81SA10,2023-05-01T04:50:00+08:00,350.00,2.00,2.00,0.00,1.00,0.00,1.00,0.00,2.00,4.50,農委會水土保持局,臺東縣,22,太麻里鄉,312
三和,25.2349,121.5870,C0A930,2023-05-01T04:50:00+08:00,216.00,0.00,7.00,-998.00,-998.00,-998.00,0.00,-998.00,15.50,24.00,局屬無人測站,新北市,06,金山區,003
三地門,22.7101,120.6412,01Q930,2023-05-01T04:50:00+08:00,150.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,屏東縣,20,瑪家鄉,308
三地門,22.7117,120.6319,C0R150,2023-05-01T04:50:00+08:00,105.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,內埔鄉,310
三峽,24.9407,121.3474,01A220,2023-05-01T04:50:00+08:00,33.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第10河川局,新北市,06,三峽區,057
三峽,24.9408,121.3615,C0AC60,2023-05-01T04:50:00+08:00,55.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,三峽區,057
三星,24.6699,121.6448,C0U890,2023-05-01T04:50:00+08:00,116.00,0.00,2.00,-998.00,-998.00,-998.00,0.00,-998.00,4.00,13.00,局屬無人測站,宜蘭縣,07,三星鄉,084
三棧,24.1174,121.5968,C1Z110,2023-05-01T04:50:00+08:00,680.00,1.50,9.50,0.00,0.50,0.00,0.50,0.00,16.00,26.50,局屬無人測站,花蓮縣,21,秀林鄉,108
三民,22.6469,120.3033,C0V700,2023-05-01T04:50:00+08:00,24.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,三民區,314
三灣,24.6575,120.9471,01E400,2023-05-01T04:50:00+08:00,99.50,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第2河川局,苗栗縣,11,三灣鄉,088
三義,24.4072,120.7416,C0E880,2023-05-01T04:50:00+08:00,507.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,苗栗縣,11,三義鄉,106
三義(2),24.4160,120.7619,01E290,2023-05-01T04:50:00+08:00,269.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第2河川局,苗栗縣,11,三義鄉,106
三興國小,25.0310,121.5499,A1AA00,2023-05-01T04:50:00+08:00,28.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,信義區,038
三芝,25.2596,121.4934,C0AD00,2023-05-01T04:50:00+08:00,86.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,3.50,3.50,局屬無人測站,新北市,06,三芝區,002
三豐,23.8837,120.2814,C0G970,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,大城鄉,169
三貂角,25.0094,121.9939,C0A970,2023-05-01T04:50:00+08:00,96.00,0.00,4.00,-998.00,-998.00,-998.00,0.00,-998.00,11.00,15.00,局屬無人測站,新北市,06,貢寮區,027
三重,25.0591,121.4924,C0AI30,2023-05-01T04:50:00+08:00,26.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,三重區,025
上安,23.7272,120.8685,81I540,2023-05-01T04:50:00+08:00,459.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,南投縣,13,水里鄉,168
上巴陵,24.6817,121.3883,81C730,2023-05-01T04:50:00+08:00,1072.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,桃園市,08,復興區,067
上德文,22.7650,120.6964,C1R120,2023-05-01T04:50:00+08:00,820.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,三地門鄉,291
上林國小,25.0312,121.8243,O1AH20,2023-05-01T04:50:00+08:00,71.00,0.00,2.00,-998.00,-998.00,-998.00,0.00,-998.00,5.00,5.00,水利署第1河川局,新北市,06,雙溪區,024
上谷關,24.2034,121.0105,C1F871,2023-05-01T04:50:00+08:00,1000.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,和平區,104
上里,22.8790,121.0490,01S570,2023-05-01T04:50:00+08:00,274.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第8河川局,臺東縣,22,延平鄉,280
下寮,22.3946,120.5467,C0R910,2023-05-01T04:50:00+08:00,8.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,枋寮鄉,358
下水埔,23.8178,120.5594,C1G690,2023-05-01T04:50:00+08:00,110.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,溪州鄉,174
下營,23.2287,120.2482,C0X060,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,下營區,242
下馬,23.1522,121.0622,C0S660,2023-05-01T04:50:00+08:00,794.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,臺東縣,22,海端鄉,240
中和,24.9934,121.4836,C0AG80,2023-05-01T04:50:00+08:00,48.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,中和區,048
中坑,24.2503,120.8952,C0F0C0,2023-05-01T04:50:00+08:00,983.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,和平區,104
中坑(3),23.5722,120.5128,01L910,2023-05-01T04:50:00+08:00,95.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,嘉義縣,17,大林鎮,202
中坑國小,24.2382,120.8718,81F880,2023-05-01T04:50:00+08:00,482.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,臺中市,02,和平區,104
